Nama Pengguna,Rating,Waktu,Komentar
Deni Rahman,5.0,6 bulan lalu,Sebelum nonton Persib di GBLA tak lupa menyempatkan dulu mampir ke salah satu warung nasi ini makanannya enak price to value bgt
DELTA NUSANTARA,5.0,8 tahun lalu,Stadion yang sangat megah di kota bandung. Namun untuk akses lumayan agak susah karena jalur yg sempit dan juga berada ditengah tengah sawah. Terkadang pintu tol di gbla dibuka. Tp saat saya menonton pertandingan persebaya melawan martapura di semifinal liga 2. Akses tol ditutup sehingga kita harus memutar lewat pintu tol cileunyi.
Hana Megumi,4.0,setahun lalu,"Sekarang sudah dibuka tol gedebage jadi akses lebih mudah hanya saja rumput ilalang banyak yang menjulang tinggi sepertinya kurang terawat, akses masuk kalau cuma sekedar olahraga lari jogging atau sepeda agak sulit jadi ya menikmati dari luar saja lah, kecuali ada event jangan lupa beli tiketnya"
Rafli,4.0,6 bulan lalu,"Susah Nyari Parkir Yg Aman,,mohon buat pengelola agar memperhatikan ini agar para penonton merasa nyaman"
Redi Setiadi,5.0,2 tahun lalu,"Tempat latihan, tim Persib Bandung. Yang mau liat pemain Persib harus datang pagi karena mereka latihan di pagi hari terus sekitar pukul 7 pagi"
Syahiful Sulung,5.0,8 tahun lalu,Gelora bandung lautan api menjadi saksi malam 28/11/17 antara laga final persebaya vs psms medan yang berhasil dijuarai oleh tim kebanggaan arek2 suroboyo PERSEBAYA. Stadion Gelora Bandung lautan api seketika berubah nama jadi gelora bandung lautan BONEK ijo2 berpadu dengan psms medan.  Suasana stadion yg digadang2 sekelas international ini berhawa sejuk krn berdekatan dg gunung2. Lokasinya dekat tol cimahi garut.  Terimakasih dulur BOBOTOH VIKING. BONEK VIKING SATU HATI.
Ayi Abdul Basith,5.0,3 tahun lalu,"Pertandingan sepak bola hanya berlangsung 90 menit, sesudah itu pertemanan harus kembali dijalin. Follow for more IG : @flywithbas"
akroma homsu,5.0,setahun lalu,"Stadion kebanggaan orang bandung dan jawa barat, tempat nonton bola yang nyaman ,bersih,dengan udara kota bandung yang sejuk Yang Menjadi Markas home tim persib bandung"
triardianto danil,5.0,setahun lalu,"Parkir sudah gateway system, toilet bersih"
Eko Suyanto,4.0,Diedit 2 tahun lalu,"Stadion GBLA  terlihat dari ketinggian menggunakan drone yang berdekatan dengan stasiun kereta cepat Tegalluar saat memantau perkembangan proyek flyover Cibiru,dan saat ini bulan Oktober 2023 Stasiun Kereta Cepat Tegalluar sudah resmi di gunakan untuk melayani masyarakat yang akan bepergian menggunakan kereta cepat dari Bandung ke Jakarta, semoga informasi ini bermanfaat."
Yans Tours,5.0,2 tahun lalu,"Stadion yang sangat bagus bagus. **Stadion Gelora Bandung Lautan Api (GBLA)** adalah stadion sepak bola yang terletak di Rancanumpang, Gedebage, Kota Bandung, Jawa Barat, Indonesia. Stadion ini menjadi markas dari klub sepak bola Persib Bandung. GBLA memiliki kapasitas 38.000 penonton dan dibangun pada tahun 2011.  GBLA memiliki desain yang unik dan modern. Stadion ini berbentuk seperti pesawat UFO dan didominasi oleh warna putih. Stadion ini juga dilengkapi dengan berbagai fasilitas pendukung, seperti ruang ganti pemain, ruang konferensi pers, dan ruang VIP.  **Kelebihan Stadion GBLA**  * Stadion GBLA memiliki desain yang unik dan modern. * Stadion ini memiliki fasilitas yang lengkap dan modern. * Stadion GBLA terletak di lokasi yang strategis, sehingga mudah diakses oleh masyarakat dari berbagai daerah.  **Kekurangan Stadion GBLA**  * Stadion GBLA memiliki kapasitas yang tidak terlalu besar. * Stadion ini terletak di kawasan yang padat penduduk, sehingga dapat menimbulkan kemacetan lalu lintas saat ada event besar.  **Kesimpulan**  Secara keseluruhan, Stadion GBLA adalah stadion yang layak untuk menjadi kebanggaan Kota Bandung. Stadion ini memiliki desain yang unik dan modern, serta dilengkapi dengan berbagai fasilitas pendukung yang lengkap. Namun, stadion ini memiliki kapasitas yang tidak terlalu besar dan terletak di kawasan yang padat penduduk.  Berikut adalah beberapa saran untuk meningkatkan kualitas Stadion GBLA:  * Meningkatkan kapasitas stadion agar dapat menampung lebih banyak penonton. * Meningkatkan kualitas transportasi umum di sekitar stadion agar dapat mengurangi kemacetan lalu lintas.  Dengan adanya perbaikan-perbaikan tersebut, maka Stadion GBLA akan menjadi stadion yang lebih baik dan dapat menjadi kebanggaan Kota Bandung. [Image of Stadion Gelora Bandung Lautan Api]"
Dhea Ananda Kartini,3.0,3 tahun lalu,"kesini waktu pertandingan persib vs persebaya. untuk stadionya luas dan menampung puluhan ribu orang, tapi untuk kebersihan dan keamananya sangat sangat kurang sekali. kursi berdebu, tembok retak, sampah dimana dimana :( tapi disini banyak yang jualan makanan juga jadi ngga khawatir kalo perut laper. aksesnya aga susah ya karena bukan di jalanan utama, bisa naik kereta juga terus turun di stasion cimekar. pertama kali nonton pertandingan disini degdegan parah... turut berduka cita untuk yang gugur di GBLA🥀"
ino krambol,5.0,Diedit 7 tahun lalu,"Stadion Gelora Bandung Lautan Api adalah sebuah stadion olahraga yang berada di Desa Rancanumpang, Kecamatan Gedebage, Kota Bandung, Jawa Barat. Stadion berada di antara ruas Jalan Tol Purwakarta-Bandung-Cileunyi KM 149 dan Jalan Bypass Soekarno-Hatta Bandung. Akses jalan menuju Stadion akan dibuat pintu tol khusus di KM 149 ruas Tol Purbaleunyi dan ruas jalan dari arah Stasiun KA Cimekar dan dari jalan Rancanumpang. Dibuat juga ruas jalan baru menyusuri tol sekitar 2 kilometer, disamping ruas jalan yang sudah ada. Stadion ini akan menjadi home base klub sepak bola asal Kota Bandung yaitu Persib Bandung di musim kompetisi 2014.  Sumber : wikipedia"
Nusrat Mubarakah,5.0,setahun lalu,"Stadion GBLA Gelora Bandung Lautan Api Setiap hari minggu dari pukul 6 sampai 12 siang ada pasar kaget disini. Rame dan lengkap, wisata kuliner, fashion, buah dan sayur harganya murah meriah. Banyak juga yang berolah raga joging dan bulu tangkis. Tempatnya rapi dan terasedia parkiran yang luas. Nyaman karena tidak terganggu lalu lintas motor seperti pasar kaget pada umumnya. Yuk belanja.."
ャ,5.0,3 bulan lalu,Minggu 11 Januari 2026 Full time : PERSIB Bandung 1-0 Persija ⚽ 5’ Aki Beckham Putra #Game17 #mb ⁰¹'¹⁶🥶
Aquarius Lady,4.0,Diedit 5 bulan lalu,Dalemnya keren tp sayang banyak jalan yg amblas dan kurang rapi
Viska Vizuka,4.0,7 tahun lalu,"Stadion yang megah dan luas untuk pertandingan sepak bola maupun acara besar lainnya. Namun memang agak sulit dijangkau dengan kendaraan umum karena letaknya yang berada di tengah persawahan. Cukup jauh dari jalan raya besar. Bisa dijangkau dengan kendaraan pribadi melalui beberapa jalur alternatif dari Gedebage, Sapan, dan Cimekar. Beberapa fasilitas masih perlu peningkatan seperti toilet dan airnya."
Rizki Aditya Saputra,5.0,3 tahun lalu,"Stadion yang dimana setiap Match Persib Selalu di penuhi dan suara suara bergemuruh bobotoh yang selalu menyemangati tim kebanggaannya yaitu PERSIB BANDUNG, dengan fasilitas stadion yang memadai dan kapasitas stadion yang sangat banyak menampung bobotoh"
Sephia Syfrn,5.0,3 tahun lalu,"Waktu itu nonton timnas vs curacao di stadium gbla,jauh bgt ya ternyata dr rumah penduduk,kanan kiri sawah,kalo kesini mending naik kendaraan pribadi aja,kalo pake grab atau gojek lumayan susah dapet karna susah sinyal kalo selesai pertandingan"
Muhammad Tsaqiif Baihaqi,5.0,2 bulan lalu,"stadion bagus,rumput juga bagus,terus pas masuk lapangan semua pemain lawan bisa kena bantai"
NISRINA Rafifa Faiha,4.0,4 bulan lalu,"Euforia was great tapi minimal benerin/tambah toilet, fasilitas umum kayak mushola juga 💔💔💔"
Lulu Dzakiyah Achmad,4.0,setahun lalu,Jalan hari Minggu pagi cukup ramai banyak tukang dagang. Pintu dalam stadion ditutup. Hanya bisa main di parkiran. Untung anak ga minta ke toilet karena di dalam tidak kelihatan ada toilet umum
fadli hm,5.0,2 bulan lalu,Tempat yang selalu ingin didatangi terus menerus karena saya cinta persib🙌🏻
Muh Yani,5.0,7 bulan lalu,Ini stadion megah dan besar lokasi di bandung jadi tempat yang asri utk ajang sarana olah raga warga sekitar dan bisa menonton tim  persib maung bandung bertanding .
Sugeng Sudrajat,5.0,2 tahun lalu,"Suasana gelora ramai dan sekitar gelora juga sangat mensupport, seperti pegang makanam dan minuman...juga pakaian. Olah raga dapat funn juga dapat...mantaps"
Tono Hartono,5.0,Diedit 4 bulan lalu,Stadion nya megah banget
Oman Abdul Rohman,3.0,8 tahun lalu,"Gelora Bandung Lautan Api atau yang lebih di kenal dengan singkatan GBLA ini dari luar tempatnya kelihatan bagus, mempunyai konsep stadion bertaraf internasional, sayang nya perawatan infrastruktur nya kurang sehingga tempat yang kelihatan nya megah dari kejauhan bagaikan piring terbang yang singgah di tengah pesawahan ini  terlihat kurang terawat jika di lihat dari jarak dekat, cat nya yang melepuh, kurangnya pepohonan yang di tanam dan sampah bekas para suporter yang berserakan, di tambah lagi jalan menuju tempat ini di pakai para penduduk setempat di manfaatkan untuk keperluan pribadi, seperti menjemur padi tempat balapan liar dan lain lain."
Agusdian Ristanto,5.0,Diedit 3 tahun lalu,Belum pernah masuk dan hanya mintas... Stadion megah ddengan desain yg sepertinya nampak modern di tengah2 view persawahan
mochamad Agusni,1.0,Diedit sebulan lalu,"Hari minggu pagi diramaikan dengan adanya Pedagang Mingguan, HIPPAS,KOMPAS,DLL"
Anjing Goblog,5.0,2 bulan lalu,vs MALUT UNITED kembali nya Legenda
REZA RISWANDI,5.0,5 bulan lalu,toiletnya kureng yang lainnya overrall oke sih
CATUR MANIEZ,5.0,Diedit 3 tahun lalu,"Tempat Favorit Untuk Berolahraga atau hanya sekedar jalan2 bersantai. Biasanya ada Pasar Kaget Kalau Hari Minggu, selalu ramai dan murmer harga dan juga barangnya bagus2."
onny sophjan tjahyono,5.0,3 tahun lalu,"Cocok untuk berolahraga sepeda, jalan kaki, berlari, sayangnya pintu gerbang nya gak dibuka, sabtu minggu, banyak penjual macam² & bengkel sepeda"
edwin nugraha,5.0,3 bulan lalu,"Megah, bagus & perlu ada kepengurusan & tata kelola yg lbh baik lg."
Siti Patimah,5.0,3 tahun lalu,"Pertama kali nonton bola ke stadion bareng suami dan bawa anak, wah atmosfernya lebih seru dan menegangkan 😅"
Hendra Nazmi,5.0,3 tahun lalu,"Stadion jawabarat, kandang club besar indonesia Persib Bandung, yg mempunyai basis suporter banyak di indonesia. Semoga ada perawatan renovasi yg semakin bagus kedepan nya."
dea permana saputra 21,5.0,4 tahun lalu,"Kalo buat stadion sangat tidak terawat,kalo buat pasar minggu nya enak buat jalan2 santai sambil bawa anak"
Krisna Aditia,5.0,6 bulan lalu,Mantap juaraa ken ahh persibb
Linda Tandriany,5.0,7 tahun lalu,"Stadion ini dibangun dengan tujuan menjadi home base club sepak bola PERSIB Bandung, yang selama ini menjadikan stadion siliwangi sebagai home base nya yang terkadang juga menggunakan stadion si jalak harupat sebagai opsi karena kapasitas nya lebih besar. Stadion ini berada di Rancanumpang Gedebage Bandung. Berada di antara ruas Jalan Tol Purwakarta-Bandung-Cileunyi KM 149 dan Jalan Bypass Soekarno-Hatta Bandung. Akses jalan menuju Stadion bisa melalui ruas jalan dari arah Stasiun KA Cimekar dan dari jalan Rancanumpang. Dibuat juga ruas jalan baru menyusuri tol sekitar 2 kilometer, disamping ruas jalan yang sudah ada. Jalannya bagus beraspalu. Kekurangan stadion ini menurut saya adalah pengaturan tempat parkir yang msh sembarangan sehingga tidak rapi dan tidak ada petugas khusus yang mengatur. Hal ini merepotkan ketika sudah masuk tempat parkir, sulit mencari tempat parkir yang kosong."
Wibby Honda Jatinangor,5.0,7 bulan lalu,"Takjub sama PKL PKL yang jual sabtu-minggu pada ramah, dan tetap tersenyum meskipun kondisi jalan sedang sepi 😊"
ANGGARA Sr,5.0,Diedit 2 tahun lalu,"Bagus, cuma kurang perawatan, di dalam WC nya duh 😂, di luar banyak tumbuhan ilalang"
Adam Naufan,4.0,7 tahun lalu,"PERSIB JIWA RAGA KAMI. Stadion kebanggaaan warga Jawa Barat khususnya Bandung,  selalu ramai jikalau Persib bermain,  banyak bobotoh dari seantero alam dunya dateng kesini mendukung Persib. Fasilitas sudah baik. Tpi kadang yg ga ada tiket bisa masuk seenaknya dan yg punya ga bisa masuk.  Apalagi vip kadang kursi yg kita miliki sudah diambil oleh orang yg merasak ambil seenaknya."
Wahyu Topami,5.0,3 tahun lalu,"GBLA emang keren sebenarnya, hanya faktor korupsi membuat semua gegap gempita di dalamnya tidak terasa. Karena bangunan yang mulai tidak kokoh lagi, ditambah faktor penunjang lainnya tidak memadai, seperti: toilet, tribun yang bisa diputar. Misal (tiket di selatan, bisa duduk di Barat atau timur)"
agus soeps,5.0,4 tahun lalu,"Tempat yang cukup nyaman untuk berolahraga atau sekedar nongkrong santai., hanya saja ada beberapa pemuda yang kebut2an di areal yang sama dan cukup membahayakan pengunjung lainnya"
Mohamad Alfajar,4.0,5 bulan lalu,+ Parkiran luas dan sudah pakai gate  - Kamar mandi airnya tidak ada
Firdayani _,5.0,3 tahun lalu,"Homebase Persib, enak untuk jalan jalan ada pedagang juga apalagi rame saat hari libur untuk lari pagi bersama teman dan keluarga"
locAL,5.0,8 bulan lalu,Stadionnapersib bandung tempat bobotoh berkumpul menyaksikan tim kebanggaan kota bandung ⭐️⭐️⭐️⭐️
Erlangga Ramadhita Nala,5.0,7 tahun lalu,"Pengalaman terindah nonton tim kebanggan PERSIB BANDUNG !! Pengelolaan harus lebih ditingkatkan, wc tidak ada air, mushola dan tempat wudhu banjir"
Sandi M Official,5.0,8 bulan lalu,"Pelayanan ramah, baik untuk pemasangan cepet, rapih dan kualitas terbaik…owner dan yg kerja nya baik bgt n ramah…pasang kaca film vkool selalu di Niky sdh langganan…rekomendasi bgt sukses terus buat Niky variasi…trims"
ulfah khairunnisa,3.0,7 tahun lalu,"Stadion yang termasuk besar di kota Bandung tetapi tidak diperkenankan masuk tanpa izin DISPORA,  harus membuat surat izin terlebih dulu untuk memasuki kawasan ini."
Yumna ZN,4.0,5 tahun lalu,"Bagus bgt, sayang dilingkungannya masih banyak sampah berserakan. Pengunjung kuduna sadar diri. Da klo bersih mah kita yang enak, lingkungan jadi indah."
Independent Property Syariah,4.0,Diedit 2 tahun lalu,"Area nya luas, bagus buat olahraga pagi dan parkir kendaraan juga bisa menampung banyak. Minggu pagi ada pasar dadakan yang selalu ramai"
Rizki Fatah,5.0,7 tahun lalu,"Stadion GBLA adalah stadion persib yg terletak di Gedebage, setadion megah di tengah sawah. Bagus buat selfi selfi dan setiap sabtu minggu banyak yg joging atau sekedar belanja karna hari minggu suka ada pasar kaget"
dunia agustiano,5.0,4 tahun lalu,"ini foto saya ambil dari Kereta Api serayu.  saya kira ini old trafford kok bisa ada di tengah2 sawah.  eh tau nya pas liat di maps, stadion gelora bandung lautan api.  keren euy 🤝✌️"
Kurnia Azzura,5.0,8 tahun lalu,"Tempat ini jika anda mengunjungi nya di hari minggu akan banyak di jumpai pengunjung yang melakukan aktivitas olahrga seperti lari,  senam dan main badminton serta bersepeda.  Di samping itu anda bisa menikmati wisata kuliner dan jajanan awet lainnya seperti fashion dan alat-alat rumah tangga."
Mei Mustikarini,3.0,2 tahun lalu,"Lumayan di hari kerja bisa buat sarana olahraga jalan atau jogging, tapi sayangnya fasiltas bangku2 di sepnjang trotoar sdh lenyap tak berbekas.. hari minggu full pasar kaget dan banyak bis2 melintas arah Masjid Al Jabbar. Pemkot maupun pemprov terkesan krg siap dgn pengarahan jalur lalu lintasnya"
Sula Eman,5.0,2 bulan lalu,Seru banget apa lagi pas liat pemain pemanasan
Ainul mutaqin,5.0,6 bulan lalu,"Selain buat nyetadion, rekomendasi untuk lari dan juga kulineran di hari minggu, banyak yang dagang mantap"
Rheza Pratama Rhamadhan,5.0,4 bulan lalu,Good view Good vibe cuma akses tol yg di tutup ketika persib bertanding itu bikin nguras energi
Imas Srihayati,3.0,6 tahun lalu,"Suka dijadikan sarana olahraga oleh warga sekitar kalo hari minggu. Suka ada pertandingan bola diluar yang liga nasional. Banyak calo, kurang tempat sampah. Parkirannya luas. Kalo ada persib main disini biasanya mobil yang parkir bisa sampe ke tol saking membludaknya penonton"
Arqif rasyad alhusain,5.0,4 bulan lalu,"Saya sangat puas dengan pengalaman menonton pertandingan di GBLA. GBLA adalah stadion yang luar biasa!""    💙💙⭐⭐⭐⭐⭐"
ayumi’s,3.0,6 tahun lalu,"Kalau tidak ada pertandingan tidak bisa masuk untuk berolahraga, lingkungan di sekitar stadium juga todak terawat"
Windi Rahmawati,5.0,Diedit 4 tahun lalu,Kalau hari biasa.. enak belajar nyetir disini. Kalau hari sabtu minggu waktunya olah raga dan beli jajajan yang super banyak pilihan..
Rika Paulina,5.0,9 bulan lalu,"Setiap Minggu ada pasar dadakan di depan nya, pulang olahraga langsung belanja🥰"
Doni Kicau,5.0,5 bulan lalu,Kalo hari minggu ada pasar nya
ZIA UL IHSAN,5.0,Diedit 5 tahun lalu,"Tempatnya bagus dan nyaman. Tapi kalo siang- siang tempatnya panas,  👍 (Foto: pengajian ustad abdul somad, tanggal 26 Januari 2019)"
Dimaz Ravelt,5.0,3 tahun lalu,"Secara kualitas rumput salah satu terbaik di indonesia, kapasitas cukup besar sekitar 40rb penonton, seharusnya sudah di tangani persib ini stadion tapi masih ada masalah jadi blum bisa di urus persib, klo. Sudah di urus persib bakal banyak perombakan"
Yazid _yya026,5.0,2 tahun lalu,Di tempat ini dmn saya bisa melihat tim sepakbola kebanggaan saya bermain di sana untuk berkontribusi memberikan dukungan kepada tim favorit saya
Oman Mulyana,1.0,Diedit 4 tahun lalu,"Toilet gelap ga ada setrum, bau banget krn banyak t** , biaya mahal pembangunanya tidak sebanding ama kondisinya,  kasihan banget rakyat indonesia ... Insya Alloh yg korupsi akan di kasih t** juga di akhirat selain panas tapi neraka tentunya... (saya aamiinkan utk yg korupsi atas fasilitas GBLA)"
Mohammad Ilman Ma'ariz,4.0,9 tahun lalu,Stadion dengan kapasitas yg sangat besar dan tempat duduk juga view yg cukup nyaman untuk menonton pertandingan sepak bola. Akses jalan yg cukup mudah dari pusat kota Bandung walaupun ada beberapa fasilitas yg perlu di perbaiki dan di tingkatkan lagi.
Taufik Budiman,3.0,7 tahun lalu,"Tempat yang baik untuk jogging,  bersepeda atau sekedar jalan. Sayangnya banyak sampah dan banyak tanaman liar di sekeliling GBLA. Harusnya rapih dan terawat."
Dedi Sunardi,5.0,2 tahun lalu,"Markas Persib. Minggu pagi selalu rame yg olahraga raga, pasar tumbah semua ada.. Mau makan jg banyak pilihan.. Cocok u refreshing minggu pagi sambil olahraga jalan  ataupun sepedahan."
Sodikin,4.0,setahun lalu,"Secara keselurahan lumayan bagus, untuk toilet airnya tidak cukup banyak ketika balik lagi buang air kecil air tidak ada"
Dan Budhiana,4.0,5 bulan lalu,Sayang ya fasilitas yang dibangun dengan biaya yang sangat besar tidak di terawat dengan baik dan tidak optimal penggunaannya
Syamsul Nurdin,5.0,5 bulan lalu,Bukan sekedar hobi tapi sudah menjadi darah daging perwib di selalu di hati
arpiasdfghjkl,5.0,Diedit setahun lalu,"cocok bgt untuk olahraga pagi. mau belanja? mau sekalian sarapan? bisa bgt, karena banyak pilihannya. 🏃🏻‍♀️"
Feri Sulistiyana,4.0,8 tahun lalu,Sangat Bagus Untuk dipake KOPDAR.. Dan harus sering ada Patroli karena di warung/saung suka dipake mojok..
Syaidah Wulan,5.0,3 tahun lalu,Lega banget. Enak dipake olahraga ataupun sekedar muter muter motoran. Super adem deh kalo kesini apalagi kalo sore sore.
Reza Horisman,3.0,5 tahun lalu,"Padahal ini stadio keren .. anggaran pembangunan nya pun keren .. TAPI KENAPA GAK TERURUS ?? ratusan milyar uang dari rakyat jabar terasa hambar sia-sia .. Padahal kalo di manage dgn baik bisa jadi kadang yg membanggakan untuk PERSIB MAUNG BANDUNG khususnya, umumnya untuk penikmat sepakbola dari seluruh jawa barat & sekitarnya  Semoga kedepan nya ada solusi yg efektif mengatasi masalah klasik di negeri ini khusus dunia sepak bola tanah air"
rendy klemens,5.0,2 bulan lalu,Buat temen sehoby bisa sharing bareng☕
MANG OZO'S,4.0,Diedit 2 tahun lalu,Untuk yang olah raga atau sekedar jalan jajan harus lebih hati-hati karena sekarang lumayan banyak bus melintas dari dan ke mesjid al jabar
Sita nurul aziszah,5.0,3 bulan lalu,"Pelayanannya responsif dan petugasnya sangat ramah, thankyou Prodia sukses selalu"
I MADE SUPARBAWA,5.0,3 tahun lalu,"Sabtu Minggu rame banget, banyak jual sepatu baju n kuliner"
Ade Januar,3.0,3 tahun lalu,Fasilitas yg sdh sangat baik kurang ditunjang dg pemeliharaan yg baik terutama di bagian toilet. Akses menuju ke sana lumayan jauh bisa dilayani angkutan umum.
dedeyudi nuryana,5.0,Diedit 4 bulan lalu,"Stadion kebanggaan warga jawa Barat,, dengan kapasitas penonton yg cukup banyak di banding stadion jalak harupat,, stadion ini telah menjadi home base persib bandung, dan pengelolaan nya pun sudah di pegang oleh manajemen persib bandung bermartabat. Untuk akses nya pun lebih fleksibel, karena dekat dengan tol dan stasiun kereta api dan kereta cepat KCIC."
Zikho,5.0,2 bulan lalu,💙💙💙💙
Rusmana,5.0,3 tahun lalu,"Jalan dan infrastruktur sudah memadai untuk bisa menggelar pekan olahraga di stadion gbla, kalo hari minggu juga selalu ada pasar kaget, jadi rame banget, semoga kedepannya Persib Bandung bisa bermain disini lagi"
sultann geboy,5.0,2 bulan lalu,STADION KELAS EROPA . DAN DIDALAMNYA SETELAH RENOV JADI MADEP JADI MAKIN NYAMAN NYETADION
Indra Kakang,3.0,setahun lalu,Tempat duduk penonton nya bau tak kucing dimana mana serasa gak terawat
Oten,5.0,8 tahun lalu,"wahh,,,seru sekalii nonton langsung di stadion gbla,, tapi sayangnya gk ada panduan route buat keluar dari gang""nya,, walaupun ada hp buat liat peta,setidaknya kasih petunjuk arah lahh,,biar gk kesulitan saat mau keluar ke jalan raya dan biar gk nanya-nanya terus ke pribuminya."
Prasetya Nugraha,3.0,7 tahun lalu,"Event-eventnya keren dan rame, tapi sayang fasilitas seperti toilet, musholla dan lingkungan kurang terawat."
Syaharuddin Umngelo,4.0,3 tahun lalu,"Stadion GLBK cukup megah, akses jalan ke lokasi juga bagus, kebersihan lokasi sekitar sangat baik, didepan stadion juga berjejer warung2. Saya bersama keluarga kesini hanya untuk jalan2."
Yusran Pare,3.0,Diedit 6 tahun lalu,"Sayang sekali, stadion bagus tampaknya belum dikelola secara baik. Hari Minggu apa lagi, jangankan mau olahraga, untuk sampai ke stadion saja susah. Pedagang kalilima dadakan (pasar kaget) sudah tidak terkendali. Menyita ruang, jalan, bahu jalan ...sesak."
Mutiara,5.0,3 tahun lalu,Gila megah banget GBLA itu . Dengan kemegahannya saya harap untuk semua orang yang ke kawasan GBLA lebih di perbaiki untuk kenyamanan dan kebersihan lingkungan tersebut
Ruswendi Yusuf,5.0,2 tahun lalu,"Cukup lumayan aman, cm sayang akses keluar msk tol nya blm ada. Jadi sulit untuk di buru2 untuk plg ke luar kota, pdhl suporter bnyk jg dr luar kota trmsk sy. Mhn di perhatikan untuk kedepan nya, krn penting bila kita ingin ke gbla sm al jabbar agar bs memperhitungkan waktu lbh cepat."
Dewi Boutique,3.0,6 tahun lalu,Belum bisa cerita banyak ya..karena saat saya datang cuma liat luar saja dan yidak bisa masuk ke dlm stadion karena gk ada pertandingan.sekilas terlihat besar dan megah ya...dan klo malam lampu tulisan stadion nya menyala dan bs merubah warna. Bagus sie...cuma kalo menurut saya pribadi...kurang terang ya warnanya.
Majalaya Photo Studio,5.0,Diedit setahun lalu,"Lapangan sepak bola milik PERSIB yang d jadikan tempat tujuan buat olah raga, jalan2 bareng klrga,doi tw bareng teman2,enak jg buat sepedaan"
Donny Alexandra,5.0,4 tahun lalu,"Tempat yg cocok untuk berolah raga dan belajar mobil karena jalannya lebar, dan belum begitu ramai, jajanannya murah2 tapi rasa ga murahan"
KUTAI SI TOGAR (Abah Togar),4.0,Diedit 2 tahun lalu,Sebetulnya tinggal pengelolaan dan yg pasti kesadaran orang2 Utk menjadikan GBLA lebih bagus... Sayangnya sebelum Pandemik ajja GBLA belum maksimal di pergunakan
Sartika Sartika,4.0,6 bulan lalu,"Mau nanya kalau hari"" biasa bisa masuk gak ya . Cuman mau liat"" aja . Triksih"
Syafiq Ismail,4.0,Diedit 2 tahun lalu,Semoga fasilitas umum seperti bangku tribun dan toilet di Stadion segera di perbaiki
Aderidwan der,3.0,3 bulan lalu,Bombers ya seru lah
Dewi arita Mam Hilmi&Haldis,4.0,4 tahun lalu,"Stadion nya tidak ter urus banyak rumput liar tumbuh, tp akses jalannya bagus, swring dijadiin tempat olahraga, nongkrong atau tempat latihan mengemudi kendaraan,"
Opik Galuh,3.0,2 tahun lalu,Bangunan yang megah tapi ada sedikit kerusakan di dalamnya. Perawatan yang minim... Semoga ini hanya sedikit yang saya lihat...
Arif Fadillah,5.0,2 tahun lalu,Kelihatannya sdh ga layak pakai. Tmpt duduk dn keramik lantainya bnyk yg rusak. Intinya kurang perawatan.
Bunda Dinda,5.0,3 tahun lalu,Kebetulan liburan sekolah kemarin ke bdg dan sempat jalan pagi di GBLA. Masya Allah rame bgt penjual mau cari jajan apa aja ada. Enak sii ga terlalu mahal juga. Klo deket mah pengen ikut jualan 😂
asep nurjaman,5.0,2 tahun lalu,"saya belum pernah masuk stadion, cuma explore di halaman nya doang.. tapi rame banget kalo weekend, kemarin aja ada event balap mobil..  https://photos.app.goo.gl/ijrL4AUv4gKMT7gk6  tinjauan"
Ghazaly Imam,4.0,2 tahun lalu,"Agak disayangkan gaboleh lari pagi di dalam pagar layaknya di stadion-stadion lainnya. Semoga ke depannya diperbolehkan, minimal akhir pekan."
Riyan m,5.0,7 tahun lalu,Stadion yg cukup megah dan luas. Pertama kali ke stadion dalam acara kajian. Kursi otomatis ngelipet saya sempet jatoh wkwk
Iis Komariah,4.0,2 tahun lalu,"berkunjung kesini untuk senantiasa niis, dan sekedar mengajak sodara bewrlatih mwengendarai mobil dan motor, menyenangkan. namun setelah adanya dibuka mesjid ALJABAR suASANA Jadi gak tiis lagi suasana jadi panas, maCET PENUh sesak orang."
Rika Rosalina,4.0,6 tahun lalu,"Tempat buat nyari hampir semua kebutuhan rumah, harganya bersaing, bisa sekalian berolahraga, areanya luas dan udaranya segar. Hari minggu lumayan padat karena ada pasar kaget. Aneka macam barang kebutuhan rumah tangga bisa didapat disini. Banyak pilihan, harganya murah."
Lalaamalia Maimungg,5.0,7 tahun lalu,"Stadion nya besar bgt, rame banget kalo hari minggu nih CFD an"
lestari utaminingtyas,4.0,2 tahun lalu,"Cuma ke pasar kaget nya aja sih. Lengkap ada yang jual makanan, pakaian, tanaman, bahkan kendaraan. Ada odong2, kereta2an, kuda. Cukup tertib. Parkir tersedia."
DanSkrrt (DanSkrrt),5.0,7 bulan lalu,"kesini buat buat cari spot fofotoan ,,"
Rustandi,5.0,Diedit 8 tahun lalu,"Banyak sampah disekitar pintu masuk stadion. Mungkin para penonton bisa lebih menjaga kebersihan. Selebihnya, cukup baik dari fasilitas dan simbol-simbol peringatan."
sutardi suryanullah,5.0,3 bulan lalu,"Penuh cinta semangat membara, Juarakeu  Persibku Otw hattrick juara"
Acep Irawan Setiawan,3.0,8 tahun lalu,Stadion kebanggaan warga Bandung mampu menampung 50 ribuan penonton dan memilik akses tol gedebage yang dibuka pas ada pertandingan sepakbola saja
